Serial No,GRE Score        ,Toefl Score ,Ielts Score,Department,CGPA,Research,Project,Work Experience ,University Ranking,University rating
270,310,105,7.5,me,3.17,0,0,0,185,3
271,292,87,6.5,me,3.46,0,0,0,185,3
272,317,107,7.5,me,3.42,0,0,0,185,3
273,318,117,8.5,me,3.17,0,0,4,185,3
274,295,105,7.5,cse,3.74,0,1,0,82,4
275,300,96,7,cse,3.46,0,0,3.5,82,4
276,324,98,7,cse,3.46,0,0,0,82,4
277,300,112,8,cse,3.46,0,0,0,82,4
278,319,80,6,cse,3.1,0,0,0,82,4
279,288,98,7,cse,3.65,0,0,5,82,4
280,308,98,7,cse,3.46,0,4,3,82,4
281,324,112,8,ds,3.33,0,0,3,82,4
282,330,115,8.5,ds,3.42,0,1,10,82,4
283,294,100,7,ds,3.36,0,0,5,332,1
284,306,96,7,ds,3.42,0,0,0,332,1
285,312,105,7.5,cse,3.81,0,0,0,9,4
286,332,114,8,ds,3.55,0,0,1.5,9,4
287,314,102,7.5,cse,3.87,3,0,0.1,9,4
288,323,114,8,cse,3.33,3,0,0.1,9,4
289,312,106,7.5,cse,3.54,3,1,2.5,9,4
290,333,112,8,eee,3.87,0,0,3.5,18,4
291,317,104,7.5,ds,3.68,0,0,0,80,4
292,311,104,7.5,ds,3.65,0,0,0.9,80,4
293,331,98,7,ds,3.53,3,0,0.1,80,4
294,316,105,7.5,ds,3.33,0,0,0.1,80,4
295,314,98,7,cse,3.33,0,0,0.1,170,3
296,299,98,7,cse,3.78,0,0,1.5,170,3
297,317,105,7.5,cse,3.33,2,1,1.6,170,3
298,301,105,7.5,civil,3.04,1,3,0.2,170,3
299,302,93,6.5,civil,3.65,0,0,0,170,3
300,321,105,7.5,cse,3.33,1,2,0.7,170,3
301,301,86,6.5,cse,3.43,0,0,0,170,3
302,316,112,8,eee,3.27,0,0,0.7,170,3
303,317,85,6.5,cse,3.23,0,0,0,260,2
304,299,105,7.5,ds,3.39,0,0,0,280,2
305,321,97,7,ds,3.04,0,0,2.2,280,2
306,324,85,6.5,ds,2.85,0,0,4.2,280,2
307,318,98,7,cse,3.4,0,0,3.1,280,2
308,317,107,7.5,cse,3.23,0,6,1.5,260,2
309,316,106,7.5,cse,3.81,0,3,1.5,260,2
310,327,106,7.5,ds,3.65,0,0,0,12,4
311,327,112,8,ds,3.5,0,1,3.4,12,4
312,317,99,7,ds,3.74,0,0,0,12,4
313,323,112,8,ds,3.81,1,2,1,12,4
314,324,108,7.5,ds,3.62,0,0,0,12,4
315,318,114,8,ds,3.78,2,1,3.5,12,4
316,326,110,8,ds,3.52,1,0,0.2,12,4
317,321,112,8,ds,3.81,0,1,2,12,4
318,321,98,7,ds,3.71,0,0,0.2,12,4
319,325,114,8,ds,3.71,0,0,0,12,4
320,317,114,8,cse,3.78,2,0,0.4,12,4
321,320,115,8.5,cse,3.71,2,5,4,12,4
322,322,102,7.5,cse,3.62,0,0,0,12,4
323,316,112,8,cse,3.68,0,0,0,12,4
324,326,115,8.5,cse,3.78,0,0,3,12,4
325,316,105,7.5,cse,3.68,1,0,3.1,12,4
326,321,109,7.5,cse,3.74,0,0,0,12,4
327,321,107,7.5,cse,3.71,1,0,3.6,12,4
328,322,115,8.5,cse,3.71,0,0,0.2,12,4
329,320,107,7.5,cse,3.74,0,0,2.5,12,4
330,317,106,7.5,cse,3.81,1,0,0,12,4
331,317,105,7.5,cse,3.62,0,0,0,12,4
332,325,115,8.5,cse,3.42,0,0,0,12,4
333,322,108,7.5,cse,3.39,2,0,0,12,4
334,308,112,8,cse,3.62,0,0,0,24,4
335,314,93,6.5,cse,3.87,0,1,0,24,4
336,309,106,7.5,cse,3.36,0,0,0,24,4
337,305,98,7,cse,3.74,0,0,0,24,4
338,314,100,7,cse,3.74,3,1,0,24,4
339,315,114,8,cse,3.65,0,0,0,24,4
340,313,105,7.5,cse,3.62,0,0,6.7,60,4
341,307,102,7.5,cse,3.55,1,1,3.5,60,4
